,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or16,-149.37860107421875,-125.36497497558594,-130.95114135742188,-4.979287147521973,-4.477320671081543,-4.676826477050781,145.37071228027344,87.99858093261719,107.42860412597656,-36.43803534678809,-32.05428298705875,-33.48259706003674,InternVL3-1B-hf,batch2,110
or17,-152.2781524658203,-125.21784973144531,-127.21414947509766,-4.614489555358887,-4.039285182952881,-4.103682041168213,100.93629455566406,56.78573989868164,60.562870025634766,-34.780171731371816,-29.86381189469704,-30.33991909632785,InternVL3-1B-hf,batch2,110
or18,-183.86485290527344,-169.05831909179688,-175.5628662109375,-5.253281593322754,-5.122979640960693,-5.32008695602417,191.19265747070312,167.834716796875,204.4016571044922,-40.30618796752091,-38.61274434590688,-40.09837614649817,InternVL3-1B-hf,batch2,110
or19,-164.69003295898438,-148.03672790527344,-157.0724639892578,-5.312581539154053,-5.104714870452881,-5.4162917137146,202.873291015625,164.7970733642578,225.04306030273438,-39.27772418841868,-36.95790492321094,-39.21370914036984,InternVL3-1B-hf,batch2,110
or20,-198.9334716796875,-176.41452026367188,-192.71282958984375,-5.235091209411621,-4.9004034996032715,-5.3531341552734375,187.74623107910156,134.34397888183594,211.2694091796875,-41.157984342233135,-37.916500116595415,-41.4194705441003,InternVL3-1B-hf,batch2,110
or21,-167.7066192626953,-144.38790893554688,-153.89620971679688,-4.7916178703308105,-4.375391483306885,-4.663521766662598,120.49616241455078,79.470947265625,106.0087661743164,-36.764038436874024,-32.97804831089722,-35.149734325538354,InternVL3-1B-hf,batch2,110
or22,-137.3834991455078,-129.43170166015625,-128.22332763671875,-4.293234348297119,-4.314390182495117,-4.274111270904541,73.20285034179688,74.76801300048828,71.81629180908203,-32.05488289845949,-31.572373058604573,-31.27761346746153,InternVL3-1B-hf,batch2,110
or23,-171.98342895507812,-154.66769409179688,-171.7745361328125,-5.547852516174316,-5.33336877822876,-5.923259735107422,256.68572998046875,207.1345977783203,373.6276550292969,-41.01716154952985,-38.613349631684734,-42.88413466344253,InternVL3-1B-hf,batch2,110
or24,-185.74261474609375,-157.8931884765625,-171.7971954345703,-4.762631416320801,-4.267383575439453,-4.643167495727539,117.05354309082031,71.33474731445312,103.87284851074219,-37.7285760202028,-33.287789993185875,-36.219098608507565,InternVL3-1B-hf,batch2,110
or25,-150.1590576171875,-123.12094116210938,-131.87826538085938,-5.177898406982422,-4.56003475189209,-4.884380340576172,177.30978393554688,95.58680725097656,132.20852661132812,-37.487752217314984,-32.26509471478576,-34.56004058426237,InternVL3-1B-hf,batch2,110
or26,-137.91168212890625,-112.07738494873047,-119.13180541992188,-5.107840061187744,-4.483095169067383,-4.76527214050293,165.3129119873047,88.50819396972656,117.3630599975586,-36.141158800157044,-30.92729847855403,-32.873937112258425,InternVL3-1B-hf,batch2,110
or27,-163.8434600830078,-128.94461059570312,-149.2019500732422,-5.120108127593994,-4.298153877258301,-4.973398685455322,167.35345458984375,73.5638656616211,144.51722717285156,-38.2286297794517,-31.453556566175184,-36.39494473426836,InternVL3-1B-hf,batch2,110
or28,-190.0198974609375,-161.27944946289062,-179.43643188476562,-4.750497341156006,-4.244195938110352,-4.722011566162109,115.64178466796875,69.69969177246094,112.39411163330078,-37.90967565077937,-33.36762285235588,-37.1241792121876,InternVL3-1B-hf,batch2,110
or29,-202.9295654296875,-177.47642517089844,-191.78512573242188,-5.968516826629639,-5.546138286590576,-5.993285179138184,390.9254455566406,256.24609375,400.7289123535156,-45.39569192324869,-41.40952924823197,-44.74809409613243,InternVL3-1B-hf,batch2,110
or30,-173.6103515625,-145.34036254882812,-159.42617797851562,-5.787012100219727,-5.190727233886719,-5.693792343139648,326.03741455078125,179.59912109375,297.01788330078125,-42.348904604211675,-37.16174403168924,-40.76331387984348,InternVL3-1B-hf,batch2,110
