,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
cs1,-575.7349853515625,-598.8033447265625,-627.9098510742188,-13.389185905456543,-14.970084190368652,-15.697746276855469,652904.375,3172670.5,6568172.5,-109.08138190212307,-119.46349240532747,-125.27034858044897,Qwen2.5-VL-7B-Instruct,batch5,279
cs2,-493.694580078125,-397.1884765625,-453.14422607421875,-11.754632949829102,-10.184320449829102,-11.6190824508667,127342.1640625,26484.646484375,111199.640625,-95.12640261594993,-80.67806977317234,-92.04396312029776,Qwen2.5-VL-7B-Instruct,batch5,279
cs3,-466.8874206542969,-439.37548828125,-463.3338623046875,-11.387497901916504,-11.56251335144043,-12.19299602508545,88211.96875,105083.8046875,197401.703125,-91.52229625681713,-90.90380474613316,-95.8606296313377,Qwen2.5-VL-7B-Instruct,batch5,279
cs4,-424.821044921875,-385.2576904296875,-476.15802001953125,-10.620526313781738,-10.412370681762695,-12.869135856628418,40967.171875,33268.64453125,388145.59375,-84.75337708212443,-81.22185140486216,-100.38588951754652,Qwen2.5-VL-7B-Instruct,batch5,279
cs5,-446.7206115722656,-371.0670166015625,-430.919189453125,-10.388851165771484,-9.2766752243042,-10.772979736328125,32495.3125,10685.8447265625,47713.98046875,-84.63772894521745,-74.0292486841246,-85.96997957660153,Qwen2.5-VL-7B-Instruct,batch5,279
cs6,-555.5333862304688,-479.1247253417969,-540.8818969726562,-10.2876558303833,-9.39460277557373,-10.605527877807617,29367.8515625,12023.3125,40357.3125,-89.23794386199788,-80.2452181440969,-90.5884908815776,Qwen2.5-VL-7B-Instruct,batch5,279
cs7,-390.15771484375,-364.31976318359375,-373.98297119140625,-9.75394344329834,-9.846480369567871,-10.107647895812988,17222.009765625,18891.74609375,24529.896484375,-77.83791392381092,-76.80761839211867,-78.8448616825237,Qwen2.5-VL-7B-Instruct,batch5,279
cs8,-416.922607421875,-406.21734619140625,-412.70166015625,-10.971647262573242,-11.606209754943848,-11.791476249694824,58200.38671875,109777.375,132121.375,-86.25845617283653,-89.04949723965835,-90.47096509160319,Qwen2.5-VL-7B-Instruct,batch5,279
cs9,-460.57086181640625,-434.74273681640625,-456.9579162597656,-10.467519760131836,-10.60348129272461,-11.14531421661377,35154.9140625,40274.80078125,69238.625,-85.83424570198575,-85.22108712770783,-89.57585049135594,Qwen2.5-VL-7B-Instruct,batch5,279
cs10,-353.88543701171875,-288.973876953125,-321.66094970703125,-8.631351470947266,-7.6045756340026855,-8.464761734008789,5604.64794921875,2007.35986328125,4744.59716796875,-69.37091550200806,-59.786732732948835,-66.5494661092853,Qwen2.5-VL-7B-Instruct,batch5,279
