,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or46,-174.95071411132812,-150.88226318359375,-156.1085968017578,-4.373767852783203,-4.191174030303955,-4.336349964141846,79.34202575683594,66.10034942626953,76.42806243896484,-34.90331757597169,-32.4288915733372,-33.55217937836767,llava-1.5-7b-hf,batch4,227
or47,-164.88035583496094,-142.09263610839844,-155.585205078125,-4.338956832885742,-4.179195404052734,-4.576035499572754,76.6275634765625,65.31327819824219,97.1285629272461,-34.11262592714337,-31.78636646503891,-34.8046772907974,llava-1.5-7b-hf,batch4,227
or48,-184.44664001464844,-162.8626251220703,-170.0357666015625,-4.985044479370117,-4.9352312088012695,-5.152599334716797,146.2100830078125,139.1053009033203,172.8802947998047,-38.88591443998713,-37.197654283591596,-38.83599234108913,llava-1.5-7b-hf,batch4,227
or49,-157.2154541015625,-140.30709838867188,-144.71304321289062,-4.764104843139648,-4.8381757736206055,-4.990105152130127,117.22614288330078,126.23885345458984,146.95187377929688,-35.907846292693016,-35.02817493789944,-36.12813501006873,llava-1.5-7b-hf,batch4,227
or50,-142.70350646972656,-122.26069641113281,-131.30052185058594,-3.7553553581237793,-3.595902919769287,-3.8617801666259766,42.74940872192383,36.44859313964844,47.549922943115234,-29.524386395466923,-27.349927531997125,-29.372151991111476,llava-1.5-7b-hf,batch4,227
de1,-192.53062438964844,-168.2425994873047,-171.70106506347656,-6.016582012176514,-6.008664608001709,-6.132181167602539,410.17425537109375,406.9395446777344,460.4393615722656,-44.92203690809303,-43.017564479191115,-43.901851612030285,llava-1.5-7b-hf,batch4,227
de2,-153.41018676757812,-131.87374877929688,-133.9154052734375,-4.512064456939697,-4.395792007446289,-4.4638471603393555,91.1097183227539,81.10884857177734,86.82088470458984,-34.31812196336671,-32.16806346275796,-32.66608627837217,llava-1.5-7b-hf,batch4,227
de3,-163.26004028320312,-121.87847137451172,-132.24180603027344,-5.266452789306641,-4.514017581939697,-4.8978447914123535,193.7275390625,91.28783416748047,134.00067138671875,-38.93667830421036,-31.939492871600407,-34.65531010848226,llava-1.5-7b-hf,batch4,227
de4,-174.19859313964844,-145.72000122070312,-150.48226928710938,-5.806620121002197,-5.604615688323975,-5.787779808044434,332.4934387207031,271.677490234375,326.2878112792969,-42.49239481784633,-39.16975106110467,-40.44985573503243,llava-1.5-7b-hf,batch4,227
de5,-187.61849975585938,-161.9482421875,-175.16786193847656,-4.46710729598999,-4.261795997619629,-4.609680652618408,87.1043930053711,70.93727111816406,100.45205688476562,-36.15083832427753,-33.50599152533613,-36.24104107796767,llava-1.5-7b-hf,batch4,227
de6,-185.34634399414062,-158.14736938476562,-168.41070556640625,-4.029268264770508,-3.765413522720337,-4.00977897644043,56.21976089477539,43.18156051635742,55.134681701660156,-33.454063992172735,-30.472261474630578,-32.449828758523175,llava-1.5-7b-hf,batch4,227
de7,-162.470703125,-142.81900024414062,-146.12228393554688,-5.602437973022461,-5.712759971618652,-5.84489107131958,271.0865173339844,302.7053527832031,345.4649353027344,-40.56139907890441,-39.41032217141546,-40.321849869266316,llava-1.5-7b-hf,batch4,227
de8,-146.7403564453125,-138.194580078125,-132.17794799804688,-5.434828281402588,-6.00846004486084,-5.7468671798706055,229.2534942626953,406.8562927246094,313.2079162597656,-38.4548026883221,-40.298194233550134,-38.54371581581676,llava-1.5-7b-hf,batch4,227
de9,-198.020263671875,-172.33233642578125,-181.61282348632812,-5.077442646026611,-4.923780918121338,-5.188937664031982,160.36343383789062,137.52159118652344,179.27798461914062,-40.22244750725444,-37.77807142095927,-39.81250622446825,llava-1.5-7b-hf,batch4,227
de10,-125.72872161865234,-116.9066162109375,-108.98860168457031,-3.492464542388916,-3.653331756591797,-3.4058938026428223,32.86684799194336,38.60306930541992,30.141223907470703,-27.0226797702814,-27.277132377649746,-25.429668671967153,llava-1.5-7b-hf,batch4,227
de11,-249.54660034179688,-213.46173095703125,-215.27944946289062,-6.567015647888184,-6.278286457061768,-6.3317484855651855,711.2440185546875,532.8748168945312,562.1386108398438,-51.62949695093422,-47.75175542021418,-48.15838216836917,llava-1.5-7b-hf,batch4,227
de12,-222.72596740722656,-183.2677001953125,-187.2678985595703,-6.749271869659424,-6.319575786590576,-6.457513809204102,853.4371337890625,555.33740234375,637.4741821289062,-50.87037943409509,-45.75344466981162,-46.75210866969971,llava-1.5-7b-hf,batch4,227
